id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
69;scraping restaurants;requests;1566989681.496619;-1.4189350605010986;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or690-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or690-Mother-Copenhagen_Zealand.html;1292727;200;True;
70;scraping restaurants;requests;1566989684.4266071;-1.4989597797393799;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or700-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or700-Mother-Copenhagen_Zealand.html;1294459;200;True;
71;scraping restaurants;requests;1566989687.433097;-1.4593772888183594;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or710-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or710-Mother-Copenhagen_Zealand.html;1293012;200;True;
72;scraping restaurants;requests;1566989690.4016;-1.6910412311553955;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or720-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or720-Mother-Copenhagen_Zealand.html;1297200;200;True;
73;scraping restaurants;requests;1566989693.599566;-1.4630911350250244;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or730-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or730-Mother-Copenhagen_Zealand.html;1295836;200;True;
74;scraping restaurants;requests;1566989696.5719712;-1.7434649467468262;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or740-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or740-Mother-Copenhagen_Zealand.html;1291557;200;True;
75;scraping restaurants;requests;1566989699.828019;-1.5294320583343506;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or750-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or750-Mother-Copenhagen_Zealand.html;1293622;200;True;
76;scraping restaurants;requests;1566989702.868442;-1.3856348991394043;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or760-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or760-Mother-Copenhagen_Zealand.html;1291525;200;True;
77;scraping restaurants;requests;1566989705.758259;-1.4644849300384521;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or770-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or770-Mother-Copenhagen_Zealand.html;1292425;200;True;
78;scraping restaurants;requests;1566989708.731888;-1.3649790287017822;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or780-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or780-Mother-Copenhagen_Zealand.html;1293376;200;True;
