,Unnamed: 0,name,bubble,review
1524,5,Vietnam Quan,"3,5 ud af 5 bobler",4 anmeldelser
1527,8,Legi Legi,5 ud af 5 bobler,1 anmeldelse
1528,9,Julios Pizze Cucina (Marios Express Pizza),4 ud af 5 bobler,1 anmeldelse
1529,10,Café Le Rouge,3 ud af 5 bobler,6 anmeldelser
1530,11,Thaiaway,"3,5 ud af 5 bobler",3 anmeldelser
1531,12,Rendez,3 ud af 5 bobler,10 anmeldelser
1532,13,Cafe casa denmark,"3,5 ud af 5 bobler",18 anmeldelser
1533,14,Cafe Maroc,"3,5 ud af 5 bobler",4 anmeldelser
1534,15,Det go'e Smørrebrød,4 ud af 5 bobler,1 anmeldelse
1535,16,Il Paradiso,5 ud af 5 bobler,1 anmeldelse
1536,17,YamYam,3 ud af 5 bobler,10 anmeldelser
1537,18,King Of Kebab Pizza & Grill,3 ud af 5 bobler,11 anmeldelser
1538,19,The Green Corner,4 ud af 5 bobler,1 anmeldelse
1539,20,Gusto Italiano,"3,5 ud af 5 bobler",3 anmeldelser
1540,21,Sydhavnens Pizzaria,"3,5 ud af 5 bobler",6 anmeldelser
1541,22,Osteriet & Ko,"3,5 ud af 5 bobler",2 anmeldelser
1542,23,Tacos Chucho,"3,5 ud af 5 bobler",3 anmeldelser
1543,24,Rosenborggade,4 ud af 5 bobler,1 anmeldelse
1545,26,Cafe La Bella Ristorante,"3,5 ud af 5 bobler",7 anmeldelser
1546,27,Flisen Bar & Burgers,"3,5 ud af 5 bobler",3 anmeldelser
1547,28,Amarone,3 ud af 5 bobler,93 anmeldelser
1548,29,Giin Khao,"3,5 ud af 5 bobler",8 anmeldelser
1549,30,Kaffebaren Soender Boulevard 68,4 ud af 5 bobler,1 anmeldelse
1551,1,Sushi Time,4 ud af 5 bobler,1 anmeldelse
1552,2,Café B,3 ud af 5 bobler,21 anmeldelser
1553,3,Olsen,4 ud af 5 bobler,1 anmeldelse
1554,4,Malta Cafeteria Og Selskabslokaler,4 ud af 5 bobler,1 anmeldelse
1555,5,Just Thai,3 ud af 5 bobler,82 anmeldelser
1556,6,Sushiya,3 ud af 5 bobler,8 anmeldelser
1557,7,El Porron,"3,5 ud af 5 bobler",129 anmeldelser
1558,8,Mama Mia,3 ud af 5 bobler,9 anmeldelser
